x,y_predito,sentimento
º lugar na lista de redação do IFCE  da licença ✋🙄 asmei  co/LNAUaP,2,positive
Mandei um áudio agora pra um colega do ifal Coruripe  Gabriel de matemática  pense num cara espetacular que sinto falts e que merece toda felicidade  bateu uma sds dele e do campus agora.  Jovem  começando agora a carreira  mas de um olhar e coração gigantes pra educação.,2,positive
Irmã  vc é linda   Eu esqueci que é vc que vai me ajudar com o trabalho do ifal,2,positive
 Entendo  acho q é melhor aceitar e ficar d boa mesmo pelo menos tenho vc e a glr do ifal e vcs são incríveis  aliás puta sabedoria mãe,2,positive
que saudade dos auxílios do ifal,2,positive
Oficial agora: segundo lugar no IFC!!! Caba não mundão. . . .,2,positive
-° lugar na feira da escola  ° lugar na feira do livro  ° lugar no IFSUL.  - ° lugar na feira da escola  ° lugar na feira do livro.  -° lugar na feira da escola  ° lugar na feira do livro  ° lugar na MOSTRAREC.  -?,2,positive
" Iniciei meus estudos no iftm e depois fui pra UFU mas não pude concluir meus estudos.  Hoje com  anos estou cursando ciência da computação.  Sei que não é o ideal  mas é o que pude fazer.  É isso que a galera tem que entender  nem todo mundo tem tempo/dinheiro pra estudar ""bem"".",2,positive
Oficialmente aprovado e matriculado no curso “Tecnologia em Gestão de Turismo” no #IFSP de Barretos! 🎉 lá vou eu  pra minha segunda graduação! 🥰,2,positive
 Que tristeza  no ifsc conta como optativa e parece ser bem tranquila.  Tb tem inglês tecnico  que é bem de boa tb,2,positive
minha mãe querendo me enfiar no ifsc😭😭😭,2,positive
  E falo por experiência  dei aula no IFPR e os alunos me elogiaram por preparar o material e nunca faltar.  E olha que é considerada uma ótima instituição.  O que dirá das escolas da periferia.,2,positive
 Eu fiz um curso técnico no IFSC e é muito bom mesmo.  Todos os professores com  currículo bastante extenso  excelentes.,2,positive
Vou fazer uma graduação e um curso pica no IFES (passei nos dois processos) o pai está de volta 🗿,2,positive
hoje me deu vontade de ficar no ifes pra sempre puta merda,2,positive
oficialmente formada no IFES,2,positive
 Alex eu tô com medo dele tá hackeado meu celular  ele é inteligente e passou no IFES de informática  me ajuda😭,2,positive
Tenho que ter estrutura pra chegar no iff as h da manhã 🫢,2,positive
   De boa kkkkkkk  mas pode crer Acredito q o iff seja diferente  tanto oque existem muitos eventos no iff promovendo o diálogo de diversas empresas com os alunos(lógico q depende da área) Tb acho q a uenf é mais forte nesse quesito que vc falou  vejo muitas pesquisas de extensão,2,positive
a questão disso tudo é que ele GOSTA de estudar  GOSTA de aprender.  nesse último ano ele tá muito apaixonado por elétrica.  ele fez uns cursos no senai (todos de graça) e agora passou no ifam pra eletrotécnica,2,positive
Graças a Deus estudo no IFF.   Graças a Deus fiz o L.,2,positive
uma noite de sono  um bolinho formigueiro e uma aula de física curaram minha depressao como é bom ter feito eletrônica no ifal e saber tudo sobre ondas,2,positive
 pq vc nunca teve aula no ifba  juro aqui todos são maravilhosos,2,positive
e eu e breno que passamos no mesmo ano/curso no ifba e agora passamos no mesmo semestre e no mesmo curso na ufba gêmeos demais,2,positive
Passei em Sistemas para Internet no IFB.  FAAAAAAAAAAAAAALA DELE😎🫱🏿‍🫲🏾,2,positive
MIKAELE PASSOU NO IFCE PQP PORRA ESSA ME JNA É FODA  te amo lenda,2,positive
"sinto que AGORA eu consegui encerrar meu ciclo no ifal  e estou pronto pra o ""futuro""",2,positive
" Muito bom o tópico ""tem no ifal""",2,positive
Esse mano foi meu professor de filosofia no IFBA no terceiro ano e não ironicamente ele era mt bom.  Foi uma surpresa da porra saber q ele era um dos criadores e principais figuras do MBL.  kkkkkkkkkkkkkkkkk,2,positive
Na realidade eu só tive professores bons no IFBA.  Obrigado  IFBA.,2,positive
 Em  eu falei que quem estuda no IFCE e votou no bozo  cuspia no prato que comia.  Dito e feito! Ficaram tudo com saudade do ciências sem fronteiras e dos diversos auxílios.,2,positive
eu tinha uma crushzinha no ifal ai no primeiro dia que usei a minha farda polo azul ai ela me parou e disse vc fica tao linda de polo  isso ate hoje me deixa genuinamente feliz…lesbicas  co/zlpOHUleA,2,positive
Vou sofrer no iFAL quando chegar minha farda com esse nome.  Mas é por uma boa causa,2,positive
 Ta pronta sim  vai viver meu amor  a gente tá aqui esperando vc ser a nova maior blogueira do ifpr  aproveita essa viagem ao máximo e não esqueça de nada  pra quando voltar  contar cada detalhe  pq vc sabe que vamos tá aqui pra te escutar tá bom  relaxa e vive  te amo,2,positive
 Amo morar em Pituaçu 😍,2,positive
Agradeço a todos os meus amigos e colegas envolvidos no Arraiá do IFF e Arraiá das Peres pelos incríveis momentos 🫶🏼🫶🏼🫶🏼 Vcs são   galerinha,2,positive
 O campo do ifes tá melhor,2,positive
e sei que posso apanhar por isso mas acho que iria me deixar mais completo  me amo e amo minha vida  acho q sou feliz e os krl a  mas tbm tem isso ai  e claro meus amigos (vocês  seja do quinteto até os próximos do ifac até os do passado),2,positive
é do ifsc né  nunca vai ser ruim 🤷,2,positive
Saudade do IFSC/meus amigos,2,positive
saudades do ifac,2,positive
Vivendo por quinta  esperando por quinta  sobrevivendo por quinta  sdd do ifba,2,positive
o EM do ifb era exatamente assim escolinha mais linda do mundo ❣️,2,positive
Em breve estarei no campus IFTM/Uberlândia.  Hoje os profs de Física do Uberlândia e Uberlândia-Centro me convidaram para um almoço.   Foi muito bom.  Um grupo forte se formará  pois existe um alinhamento quanto aos objetivos da nossa área no IFTM.  Tempos bons estão por vir.,2,positive
queria tantoo ta no ifc,2,positive
fiquei tão realizada de participar desse evento no ifes  conheci tantas pessoas fodas e com histórias tão incríveis,2,positive
quando eu tava no ifap nunca fazia os trabalhos nas normas abnt  então agora que to realmente aprendendo FODASE,2,positive
uiuiui meu segundo diploma já chegou no IFRJ,2,positive
 Nova imagem preferida atualizada com sucesso,2,positive
hj o dia tava incrível e aí eu lembrei do ifes  co/ihUZeRHWS,2,positive
Subi no palco do CONUNE com a bandeira do meu DCE do IFF Cabo Frio para receber o primeiro lugar na primeira maratona científica do CONUNE. ( Únicos momentos que não passei ódio) Ocupar as ruas e conquistar o que é nosso também é sobre ocupar espaços na ciência!!!  co/diWnMIVe,2,positive
 vou ta no ga ou no ifsul  q parecem ser mto incriveis,2,positive
num dia vc nao se sente confortável com meninos e no outro vc estuda no IFES que sempre foi seu sonho e todos os seus melhores amigos você pode chamar de amor/vida e ficar agarrado sem medo pq eles te respeitam tipo . .,2,positive
 A sensação de ter alguém também é muito boa  to morrendo de saudades da minha menina,2,positive
Saúdes da minha menina  literalmente ninguém no mundo me entende melhor que ela,2,positive
O saudade do IFES,2,positive
desde que entrei no ifba em   tive a melhor média de notas nesse semestre,2,positive
Quem faz especialização em ciências humanas no ifce de caucaia é bom ótimo ou mais ou menos,2,positive
COM CERTEZA ela fez historia no IFG enquanto participava de diversas oficinas (incluindo a da prof.  Deusa) pra ganhar horas,2,positive
Eu uso um kiss-me pq eu sou gostosa o suficiente pra ficar bom,2,positive
KamenRider é muito bom,2,positive
saudades dos cafés na cantina do iff,2,positive
meu sonho é um uniforme do ifes com a qualidade dos uniforme de iconha,2,positive
acordei com saudade da comida do ifpi,2,positive
afffff que vontade de comer aquele salgado de  reais do IFPB,2,positive
que saudades do iff,2,positive
sdd do ifba pq o hospital em que eu estou esperando milhões de horas pra pegar uma receita eu pegava lá simples e fácil.  sdds de Joaquim,2,positive
O Guia do Mochileiro das Galáxias Guerra e Paz O Grande Gatbsy O Apanhador nos Campos de Centeio  Biblia Sagrada Harry Potter  Muito obrigado biblioteca do IFES! Era meu passatempo preferido!,2,positive
Se Deus quiser eu vou pro segundo ano do Ifes  amém.,2,positive
vc  Ryuki Alex  nascido dia //  q estuda no IFSP e cursa mecânica  seu nome é mt foda,2,positive
Devidamente matriculado no IFAM   ainda vou encontrar meu homem pq quando ele sair eu vou tá entrando. . .  pego ele no banheiro.,2,positive
✨ Na última quarta-feira  tivemos um momento histórico no Câmpus Floripa  que recebeu equipamentos didáticos para o laboratório de mobilidade elétrica do IFSC! 🤩😱  Saiba mais:    co/VCdrkmy  co/PCTrhqZlyc,2,positive
Não vejo a hora de abrir esse concurso do IFS pra eu fazer e passar.  Já criei toda a ilusão na minha cabeça.  Vou passar  comprar uma casa e um carro já assim de cara  várias coisas  Vou poder me endividar sem medo de ser demitida  pois serei concursada amém,2,positive
 É um cubo de estrelas que bonito,2,positive
ENTREGUE! Indústria Fotovoltaica do IFES de Venda Nova do Imigrante.    Com imensa satisfação  compartilho com vocês a entrega da tão aguardada usina fotovoltaica do IFES De Venda Nova do Imigrante! 🌞✨   Graças à nossa emenda  essa conquista se tornou realidade.   co/RkytVHBoS,2,positive
urbana  especulação imobiliária  racismo ambiental  os impactos das chuvas na vida dos estudantes do IFRJ e as origens das enchentes no rio de janeiro.  muito feliz que vai sair do papel 🥹,2,positive
to tao feliz longe do ifam quero voltar nao,2,positive
mais uma pérola que vc só encontra no ifrn!!,2,positive
e eu que passei no ifb e nem tava sabendo?? parabéns pra mim🎉🥳,2,positive
nunca pensei que estaria com sdd do iff,2,positive
Pessoal falando que tá com saudades do iff  se eu pudesse não voltava mais kkkkk,2,positive
 que uniforme lindo  o do ifpe é todo feinhk,2,positive
as vezes sinto saudades do ifsc,2,positive
macarrãozinho do iff bom demais tá maluco,2,positive
tô ansiosa pra invernada do iff  espero q fique tudo lindo,2,positive
te amo prof ailton ribeiro do ifpb te amo,2,positive
 eu realmente me sinto em casa  nunca fui tão amada.  extremamente feliz de ter “entrado no ifac”,2,positive
Mano relato/ desabafo aqui  prova de hj foi mais tranquila q eu esperava  então curti  ai blz to eu voltando do iff na  na curva ali do americano  simplesmente um cara  passou do meu lado de moto muito rápido e quase encostou  eu vi ele morrendo na minha frente por bater em min,2,positive
Adoro receber calouros Sdds dos meus do IFES,2,positive
Só quem viveu a época de ouro sabe que o melhor bar de Fortaleza era o Bar do Madruga perto do IFCE.  Bons tempo. . .  😔🙏🏽,2,positive
Sdds de ver meus amgs do ifam (menos o João e a Maria) 🤍,2,positive
 Ventress contra Ashoka pra batalha de morte dela iria ser foda,2,positive
 vontade de colocar meu pezinho no ifs,2,positive
Acompanhe a emocionante trajetória de um estudante surdo de Engenharia Elétrica no IFMG.    Saiba como ele venceu obstáculos e está fazendo história.  Link abaixo!  co/SPKSOvLn  #EngenhariaElétrica #IFMG #Inclusão  co/tgNILoNl,2,positive
EU PASSEI PRA ARTES VISUAIS NO IFCE CARALJOOOOOI,2,positive
História dos Egressos da Iniciação Científica – FE/Ilha Solteira.  Daniel Secco é docente do IFSP e desenvolveu tecnologia eficiente para agricultura local.  Leia a matéria completa:  co/mtZVDb #Unesp #Feis #IniciacaoCientifica #IniciacaoCientificaTecnologica #ICT  co/HnujfT,2,positive
Matriculado no IFC,2,positive
Acompanhe a emocionante trajetória de um estudante surdo de Engenharia Elétrica no IFMG.  Saiba como ele venceu obstáculos e está fazendo história.  Link abaixo!  co/KWGcaqmFDe  #EngenhariaElétrica #IFMG #Inclusão  co/fKahcpPi,2,positive
 Posso indicar a da minha filha.  O nome dela é Luiza Sotero.  Ela atende online.  Maravilhosa!!!!! Formada em pediatria pela UFRJ  fez residência em neuro pela UFRJ também e trabalha no IFF.  Inteligente  experiente  paciente é muito acolhedora.    co/cwNUR,2,positive
Véi tava com saudade da resenha no ifal KKKKKKKK  Aula do Aluísio é min de aula e hmin de resenha,2,positive
Muito bom ver a galera do IFBA de novo  saudades dms,2,positive
O povo do ifes st está em todo lugar  não é possível,2,positive
Eles merecem toda a nossa gratidão pelo trabalho duro que dão para nos ensinar um pouquinho do que sabem  pela paciência e capacidade de detectar os nossos potenciais parabéns a professora Luciana e também o professor Wilson Conciani pela trajetória ao longo dos anos do IFB.   co/lfjMBmxecc,2,positive
o site do IFCE é um dos sites mais organizados em relação a editais passados que eu já vi na minha vida  que maravilha,2,positive
Mais um passo foi dado pelo retorno das aposentadorias e pensões para o Ifal!  Sigamos juntos.  Próxima batalha será a aprovação do rompimento do Acordo de Cooperação Técnica no Conselho Superior do Ifal  na próxima quarta-feira  dia .   Vamos vencer essa luta!  co/YuNoa,2,positive
Olá  pessoal  tudo bem com vocês? 🥰 Hoje é dia do quadro mais amado deste perfil  a nossa #TerçadoLivro.  📕Desta vez  a indicação é direto do IFMS Corumbá em Espanhol para celebrar a nossa miscigenação da fronteira: “El Mundo de Sofia”  de Jostein Gaarder.   co/QqNtJR,2,positive
acabei de assistir o video do ifes de alegre e chorei de saudade do meu lugarzinho 🥹,2,positive
Apesar de atrasar muita coisa do ifs  Porem não me arrependo de ter ido para essa viagem  Que experiência sensacional foi essa viagem e ainda mais com essas pessoas que estava  Foi foda dms!!❤️,2,positive
Carla Marina É A MELHOR FUNCIONÁRIA DO IFMA MONTE CASTELO.,2,positive
os eventos do ifma era bons quando bárbara e cristiane organizavam☝🏽,2,positive
que saudade de morar no iff,2,positive
último interclasse  fiz até o impossível  mas vlw  muito bom a sensação de dever cumprido  vou sentir sdd dms do ifmg,2,positive
Entrei pro grupo de futsal do ifba kkkk to me sentindo de volta pra ,2,positive
treinar no iff me deixa bem pra caralho  meu deus que diferença,2,positive
eu fico tão feliz quando vejo a evolução/diferença de uma pessoa antes do ifsc e dps,2,positive
Vou sentir muita sdd do iff,2,positive
 kanskakKkaka a auto estima crescendo a cada ano no ifes 😍,2,positive
o IFBA tá tão bom. . .  tô me sentindo um calouro entrando no IFBA pela primeira vez,2,positive
  Meu preferido é o tubarão  eu amo essa espécie de tubarão eles são muito bonitos e meio kaiju,2,positive
Acabei de me apaixonar pela francesa do iff,2,positive
 E viu brilha a estrela do CRISTIANO  Papai marcou  Sem pena alguma Na artilharia passou o ET da Catalunha  co/nNkEbzrvZ,2,positive
Eu tô a  dias sem ir no IFF? Tô.  Mas as novelas tão em dia.,2,positive
meu tio descrevendo como eu fui fzr a prova do IFES é o auge kkkkkkkk,2,positive
Eu no ifba com Fabrício(acho que é esse o nome dele(a) Mas antes eu odiava gato não queria perto de min   depois que eu ganhei dois sobrinhos(dobby e bonnie) e peguei amor por eles. Hoje eu penso até em adotar kkkkkkkkkkkk  co/vvAJNHigS,2,positive
Falo com muita tranquilidade que o time do IFRO  venceria esse Corinthians,2,positive
 Deus me livre  tinha que ser calouro mesmo pra ter sdds do ifes nas férias,2,positive
To começando a ter saudades do ifac,2,positive
Sério  eu tô amando o quanto tipo  tudo na minha vida tá melhorando a partir do momento que eu decidi viver as oportunidades real e nn viver apenas uma rotina padrão.  Conheci novos amigos que hoje são meu abrigo dentro e fora do IFAL  pessoas que se alegram comigo e choram tbm +,2,positive
mt bom saber que virei  shots pelos  módulos do ifsc(sem contar o resto e com a outra festinha,2,positive
agora eu me encontro na mesma situação  anos atrás onde eu entro na biblioteca do IFMA e falo uma frase memorável que resumidamente precisarei sim pra sempre e DE FATO a frase está viva,2,positive
  Eu tenho  anos  trabalho em um dos campi do IFRN e muitas vezes me confundem com aluno 😂😂😂  ficam falando que acham que eu tenho  no máximo  eu acho é bom e minto minha idade pra menos 😂😂😂,2,positive
   fichinha p gente quando tava em semana de prova no ifes,2,positive
eu vivi pra ver um curso superior no iff de sjb,2,positive
 Pixel sobre tela muito bom kkkk,2,positive
essa professora camila do iff  gente boa  gosto dela e das aulas.  Like like,2,positive
 Dando um retwite nesse importante conteúdo! Aproveito para parabenizar a Campanha pela luta em prol da educação pública e dizer que estou aproveitando o recesso para assistir os debates da SAM! No IFTM  divulgamos os eventos das CNPE.  Salve!!!,2,positive
 Ela é literalmente vc,2,positive
Foda pra porra menor,2,positive
saudades delas… as aulas de davi tintino professor de língua portuguesa do ifrn campus mossoró,2,positive
do nada marcos antonio fazendo um tour aqui na fábrica com os alunos do ifba . . .  ele arrasa,2,positive
Ainda tenho crise de ansiedade pra dirigir  mas ouvindo Taylor eu me acalmo.  Fui buscar meu irmão no IFBA ouvindo evermore 🛐  co/batrJKuZk,2,positive
  Nunca falei fractius na cama  mas já expliquei pq eu amo phirexya e pq a glória de Norn é eterna enquanto meu coração de porcelana bater,2,positive
conheci no ifpb em  e de lá pra cá a amizade é a mesma.  gosto dms de tu  besha.  você é tudo e amo sua companhia!! bjs,2,positive
Fique ligado nas principais datas do EXAME DE CLASSIFICAÇÃO  para os Cursos Técnicos Integrados ao Ensino Médio do IFC.  O edital será publicado no dia  de julho de .  Já as inscrições serão realizadas de  de agosto a  de setembro.   #ensinopúblico #orgulhodeserfederal  co/dAsHqev,2,positive
Vou fazer aulas de Latim no IFsul  As empresas vão adorar essa língua super popular no meu curriculum vitae ,2,positive
amei a experiência no ifrn hoje  toda quarta estarei batendo o ponto lá,2,positive
Melhor dia da minha vida: Meu kindle chegou  Tbt de sawayama na Jenny Adiantamento do tbt do kick Meu salário Matrículado no ifma  co/vHRyufBXP,2,positive
 Ela joga Lol nss da muito essa vybe,2,positive
Saudade da gurizada do iff  não do iff,2,positive
 Eu te amo meu benzinho  em breve a gente tá junto de novo🥰❤️,2,positive
.  Véi eu lembro do dia q eu falei q tava triste e vc simplesmente me mandou um áudio cantando O pé na estrada pq vc entrou no meu perfil e viu q eu gostava de irmão urso  vc me conquistou nesse dia  vc é perfeita  pena q a gente n se aproximou no IFES 😔,2,positive
Virgínia me deu aula no técnico no iff e hoje é uma pessoa muito especial pra mim  incrível de como toda vez que a gente se vê ou conversa nada muda  uma grande amiga,2,positive
Gente  que lindo ! Que momento incrível e de representação.  Na ufal  DCE QUILOMBO DOS PALMARES e no IFAL  DCE CAETÉ 🏹  co/lneMZoG,2,positive
Que alegriaaaaa !!  Criado o DCE do IFAL ✊🏽   O nome do DCE  eu dei o palpite de ser CAETÉ  tendo em vista que foram os povos indígenas que habitavam Alagoas.   E sim  foi aprovado esse nome 💙   Parabéns  camaradas.  ✊🏽,2,positive
mais uma pérola que só acontece no ifrn  co/WpJGooTJP,2,positive
 Né  amiga ?! Foi lindo !!!! DCE no ifal também irá fortalecer na luta do ME em Alagoas  junto com o DCE da UFAL.  Simbora !!,2,positive
Eu tenho um amigo autista  aluno do IFES.  Ele é extremamente habilidoso na área de sistemas de informação.  Muito mesmo.  Mas ainda não tem estágio  não tem iniciação científica…,2,positive
 eu e minhas amigas quando  chega no ifba dizendo que tá feliz,2,positive
Dia HISTÓRICO no IFBA  juro! Queria que ela tivesse no pavilhão ☠️😘,2,positive
Tenho em cerca de  viagens acumuladas   bolsas remuneradas   ao geral  estagiário do ICMBIO  fui aluno do IFNMG de inglês  chefe de cerimônia  fotógrafo e vídeomaker oficial do meu campus  reconhecido pela equipe de jornalismo de SLZ (+),2,positive
Bonitinha minha mãe me mandando concurso da petrobras  só que acho q ela perdeu o ponto q eu sai do iff e fui fazer história. . .  acho q isso quer dizer algo,2,positive
to com tanta saudades do ifac q eu tenho q ser o primeiro aluno/maluco a pisar naquela escola.,2,positive
saudade do spotted do ifsul (o do facebook)  juro era perfeito eu mandava umas  fotos por dia no primeiro semestre AKDKAKDKSKDK,2,positive
meu cabelo ta tao lindo nessas ferias  certeza que no ifam vai estar feio 👎,2,positive
e pensar que no ensino fundamental  que eu era um dos gênios da turma eu não passei na provinha do IFSP e fiquei malzao e mais tarde no ensino médio  que eu só tomava cachaça  passei na faculdade de primeira e na faculdade (mais cachaça) passei num concurso público de primeira,2,positive
Ouço ela me transporto automaticamente pra biblioteca do ifes quando Jessica e eu vimos esse clipe pela primeira vez e pensamos caramba é bom mesmo.,2,positive
O Casimiro vai monopólios transmissões do futebol E EU APOIO E MUITO,2,positive
O The Last Dance da Rainha merece ser coroado com uma copa do mundo  o povo brasileiro precisa que o Brasil ganhe essa copa e vá pro topo do mundo pra mostra que mandamos no futebol desde sempre🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 #FIFAWWC  co/qSDnspzS,2,positive
Que bela homenagem da jogadora da Nova Zelândia pro Pedro Raul do Vasco #FIFAWWC,2,positive
 melhor ainda é estudar no ifrn e poder fazer isso InFeRNo,2,positive
Vim no ifma depois de  anos a sensação é a mesma.  Que lugar bom.,2,positive
coordenadora pedagógica do ifsc sendo uma querida,2,positive
eu descobri hoje que eu passei no ifma em  🤡,2,positive
amo que eu sai do ifes em  e tinha saldo até hoje,2,positive
hoje eh dia do amigo e só consigo pensar na reação deles qnd eu contei que passei pra história no IFG aff tô tão feliz  co/sOgqjlhWU,2,positive
Feliz Dia do Amigo! 🫂Celebremos as amizades que nos fazem mais felizes.  No IFB  conhecemos pessoas incríveis que se tornaram verdadeiros amigos  compartilhando risadas e momentos inesquecíveis.  🫶🫰 Marque  (no instagram) participarmos dessa celebração de amizade!💚❤️  co/YvJQfphq,2,positive
rindo dms com os vídeos que o povo do IFES tá fazendo kkkkkkkkkkkmt bom,2,positive
hambúrguer de lanche no iff mds os dias de glória,2,positive
 afff tinha sarau literário no meu campus também  uma galera de camboinha ia lá esbanjar poesias e encher o cu de cachaça.  época de ouro no ifpb cabedelense,2,positive
"po kkkkkk recebi uma atividade que é um questionário tipo ""quem é você?"" e bateu tanta saudade das aulas de filosofia do IFPB.  as discussões incríveis que que rolavam nas aulas  os pontos de vista diferentes  os argumentos af af af af",2,positive
🎉👨🏼‍🎓👩🏽‍🎓 Hoje (/) foi dia de muita alegria para os  novos profissionais formados pelo Câmpus Goiânia do IFG! Foi dia de Colação de Grau Especial 🥳Confira mais fotos:  co/LkPDoeeZM  #ifg #ifggoiânia #souifg #vemproifg #estudenoifg #colaçãodegrauespecial  co/SxQFxFKC,2,positive
povo lindo esses do ifal  co/AJjPjrTC,2,positive
que saudade do meu terceiro ano e dos meus amigos do ifba :( lembrei da gente indo beber no pelourinho depois da aula,2,positive
Esconde-esconde hj no ifs foi bão dms,2,positive
assim ne  quando eu tiver passado num concurso pra docente do ifsc  eu fico feliz,2,positive
  minhas chuteiras brilhantes tendo impacto no dia a dia dos estudantes do ifes,2,positive
sai do ifba fui no bradesco fui na atuv entrei no onibus p casa “restam  minuto” consegui resolver duas coisas e ainda pegar integracao  bom d+,2,positive
co/ZUoNfjpdd,2,positive
Cidade Universitária ta uma paz sem aquelas praga do IFSC,2,positive
Treloso com Baré era meu deus na adolescência no IFPB  saudades!,2,positive
 De boa debaixo da ponte do IFPA 🗣,2,positive
Fatinha com a nossa Reitora do IFB a professora Reitora Luciana  e também do motorista oficial da Reitora e muito o milde e muito amigo o Elison Franklin  parabenizo vocês dois por tudo pela otina trajetória na reitoria do Instituto Federal de Brasilia desde  ate .   co/UZJfVTNtt,2,positive
Pprt que sdd da batata com queijo do IFES,2,positive
quinta é dia de tbt  e isso tb quer dizer que eu tô morrendo de saudade do ifma cch.   co/ypcpMDMHc,2,positive
sai de casa no final da tarde só pra contemplar a presença da Maíra no ifal e ver meus meninos novamente  fofoca  cafezinho com bolacha e eu cada vez mais apaixonada pelo bem que essa galera me faz no meio do furacão q tá a minha vida.   amanhã tem mais :),2,positive
 Muito relaxante isso sério!!! Já usou aquarela lamp?,2,positive
"No #TBT de hoje  vamos falar sobre a Escola do CBPF!🔬No dia  de julho  tivemos a oportunidade de trocar conhecimento durante a aula do Prof.  Vitor de Jesus  do IFRJ.  A nossa assessora de Empreendedorismo    ministrou o sobre ""Como fazer um projeto científico"".   co/xjJCGOyOQ",2,positive
 Só que a dele é bem preservada e não tem germes de metade do ifes,2,positive
Amo ver os querides do IFS pela UFS é quase uma participação especial em um episódio,2,positive
" ""arte"" dos adolescentes do ifba // arte de verdade  co/koTpRHFhs",2,positive
 Eu tenho se quiser eu te empresto e ensino um dia,2,positive
VAMO VAMO NIGÉRIA!!!!!,2,positive
 Finalmente encontrarei uso pra minha carteirinha do IFB?! Amei a dica.   co/vFlMfHjS,2,positive
Eu e o amor da minha vida ai,2,positive
a mariana que não fala COM NINGUÉM no ifal simplesmente é a pessoa mais sociável do mundo no twitter COM AS PESSOAS DO IFAL,2,positive
minha tia falando pra mim ir na festa junina do ifb pra ver os gatinhos kkkkkkk,2,positive
Fico vendo a glr falando de ir de roupa social em entrevista de emprego.  Talvez seja minha area q é mais de boa  mas em TODAS as entrevistas q eu fui foram com calça jeans  tênis e uma camisa do ifes ou de heroi.  E eu consegui o trabalho em todas elas.  Nunca me negaram.,2,positive
 co/ADOJIImNq,2,positive
Eu sou literalmente invencível semestre que vem  tipo nada desse mundo é capaz de me vencer,2,positive
Sdds dos primeiros dias do iff  eu acordava rápido  tinha vontade d ir e ainda não perdia o ônibus,2,positive
 Uma vez um Sul-africano esteve no Ifes de Ibatiba e ele falava português de uma forma aceitável  segundo ele  ele conseguiu aprender tudo durante o uso do App,2,positive
hoje vo pra ufma linda so com uma bolsinha de lado tal qual minha amiga andreza no ifma,2,positive
Meu melhor amigo passou no IFCE!♥️  Deus é bom dms!♥️,2,positive
Eu tô literalmente mais feliz do meu corpo é capaz de absorver,2,positive
 uma querida andando pelos corredores do ifpa,2,positive
eu sabia que andar com minha carteirinha do ifes sempre na carteira iria fazer diferença um dia,2,positive
passei no ifce to feliz  mesmo q eu n va estudar lá,2,positive
não tinha nenhum livre sobre ela  biblioteca do Ifrn melhore pfv 😭,2,positive
