polarity,text
0,rt @sarexsi: cadê meu auxílio cadê minha bolsa ifg me paga 
2,sou grato por estudar no ifg 
1,"@patriciaegea1 @lanksypaulo bom dia.  eu tenho 43 anos, economista e agora estou no 4 período de matemática, no ifg. apoio a sua ideia,rs. um ótimo domingo!"
1,ifg tava em peso no shopping  hoje kkkkkkk
1,vou formar em direito agr final do ano. início do ano comecei licenciatura em ciências sociais no ifg e tá numa relação de tranca ou não tranca o curso. e agr tô pensando em fazer o vestibular pra psicologia pra começar ano que vem. acho que preciso de uma terapia kkkkkk
1,feira do riviera é o ponto de encontro dos alunos do ifg todo
1,prova: um astrônomo amador tirou uma foto de uma supernova ocorrendo nessa mesma galáxia com um telescópio do tamanho do que tem no ifg. https://t.co/znsho0slbe
1,@jaozinuai @ifg_goias todo dia pessoas trans passando humilhação no sistema publico
1,ifg aderiu de vez o bingo de aluno
1,@bdebrahma o ifg fez um questionário. mas a real é que não saiu resultado do survey. msm assim eu acredito que a subnotificação vai ser alta.
0,"@comunabicha o máximo que eu conseguir permanecer via ead eu irei, acho que o ifg não tem nem dados de quem vacinou ou não"
1,paranoia too ifg
0,"corae do @ifg_goias não responde meus emails, eu vou lá e se negam a atender pq só pode por agendamento (como agendar sem resposta?) eu preciso pedir meu diploma pra entregar na universidade, próximo passo é entrar com o judicial"
1,"ifg abriu vagas parece, acho que vou tentar não tomara que dê certo e eu vaze daquela escola"
0,sim eu vou reclamar do ifg td dia
0,maior arrependimento da minha vida ter desistido da ufg por causa do ifg
2,hoje com o coração apertado me despedi do ifg- jatai para iniciar uma nova etapa na vida. só gratidão!
1,"primeira vez que fui assaltada era 6h perto do ifg, um cara preto de bike chegou me pedindo pra tirar fone, pensei em correr pq podia ser assalto, ai pensei nossa que racista, ai o cara foi e tirou um facão pra me assaltar, enfim https://t.co/nlmulupdol"
1,queria tanto me decidir se quero tentar fazer enem pra entrar no ifg ou na ufg
1,fui fazer a inscrição pra ifg e não tenho identidade
0,"eu desisto do ifg é isso, não dá mais"
1,@ifg_goias @ludmillar1107 vamos incentivar genteeee... brasil precisa disse tipo de projeto.
0,adm do ifg vacila de mais.
0,"rt @chethiago: fé-ri-as [substantivo]: coisa que um aluno do ifg não sabe o que é, mas queria saber.jpeg"
1,rt @edersb: meu sonho de princesa é o querido ifg adotar essas medida. https://t.co/4xf9shfdkw
0,"rt @matheus85027082: @capesdepressao https://t.co/gkkm03h8gs  nós bolsistas do pibid e de rp do ifg campus goiania e goiânia oste, alunos de história e pedagogia fizemos esse vídeo denunciando o atraso das bolsas e o descaso deste governo com a ciência"
1,@let_needly o bom de ser um fantasma no ifg é que esses inseto n fica nem sabendo da minha existência 
2,"hj fiz o trabalho mais feliz de toda a minha história como discente do ifg. só foi preciso três conversas no grupo do whatsapp, gerar o link compartilhado com as questões e prontinho geramos o pdf e submetemos! as vezes reunião no meet mais atrapalha do que ajuda..."
1,"@gatinhaamandab @gatinhaliciaa amiga o do ifg caiu, ficou sabendo não?"
1,e como esse câmpus mudou nessa pandemia! em ifg - instituto federal goiás https://t.co/x9noplidhq
1,não manos e se eu refizer a seleção ifg e começar o ensino médio de novo
1,"se eu não entrar pro ifg eu vou ficar muito puta, nmrlllll"
0,o ifg não deve nem ter noção se a galera vacinou ou não
1,o ifg feliz dia dos professores! https://t.co/nda2gth4iz
1,"ok, mas olharem para mim e dizer que tenho o corpo perfeito é das melhores coisas que me podem dizer. obrigada íris"
0,até nunca mais ifg
1,fiz a inscrição do ifg meu deus me ajuda nesse sorteio
1,essas tretas entre os professores do ifg kklkkklkkkk intankavel
1,eu to @rakgomess @ydaltuco mas me pergunto quem em pleno 2021 entra em uma faculdade ? mano???? o treco faz super mal
1,@_misterium eu subonei o ifg
1,@apsolmelissa hmmm matéria de humanas do ifg?
0,"to morta de cansada,estudar na ifg não é moleza..."
0,"01h da manhã e eu fazendo trabalho, ifg pq me odeias?"
0,@ifg_anapolis seleção para ficar sem bolsa?
0,ainda bem que no ifg só rola droga......
1,ontem fez exatamente 5 anos que cortei minha mão na ocupação do ifg
1,acordei com o sentimento de que qualquer coisa que eu comer vai me fazer passar mal ao mesmo tempo que se eu não comer a gastrite vai consumir todo meu sistema gástrico  parece que voltei a era do ifg novamente
1,os pais putos no chat da reunião do ifg eu me divirto
0,mano como o ifg tá cagando pro nosso aprendizado  vey #liberapresencialdosifs
0,ifg = inferno fudido de goiás
0,"o pior de estudar no ifg, é estudar no ifg de forma remota"
0,"@luisa_annaas eu tava logo pesquisando  ifg  no twitter pra ver oq o povo fala sobre essa escola e me deparo com isso, minha mçe tá doida pra me colocar lá"
0,"tudo voltando ao normal e a ifg q e bom nada né, pois bem #liberapresencialdosifs"
1,@ifg_goiania no curso... eu entro no site e não mostra a pagina de inscrição
2,@igormageskifad ifg soa bem
1,ifg muito pra mim todo if é ifes pq nenhum if soa melhor do que o ifes
2,"cada dia que passo tenho mais repulsa da uf*   ifg muito superior, desculpa"
1,@maria_silva890 amiga tá no ifg ?
1,mandei e-mail pro ifg todo pra tentar resolver a questão e agora que consegui todo mundo me respondendo dizendo que encaminhou a demanda para a mulher que eu n estava conseguindo contatar.. ela que lute com a caixa de entrada lotada agora.
1,"fala que estudou no ifg, mas não tem um short desse https://t.co/2d0r2grwyi"
1,"mano, minha empolgação é tanta com a minha pesquisa de ic que a minha vontade é de submeter três trabalhos na próxima semana da matemática do ifg, uma comunicão oral, um minicurso e uma palestra"
1,@greengodict e foi do ifg kahsjaqnwjwjwjj nao respiro
1,encontrei minha professora de cursinho pre ifg e pre vest e eu sou tão grata a essa mulher
1,"@ifg_goiania não consigo me cadastrar, tem como me ajudar?"
1,o ifg alugou um triplex na minha mente
0,@greengodict @pedrohra @brunapocosta kkkkkkk oq o ifg tem feito com vc
0,rt @put4alegre: eu preciso de férias do ifg
1,lembrando aqui daquele surto de garganta inflamada que o ifg teve em 2019 ¸ ainda bem que eu tava fazendo celibato e fiquei de fora dessa festa da uva
0,"o ifg tbm saiu socando nele, ele vem pra ca para fazermos nossos trabalhos é o amor se sobressaindo perante a merda https://t.co/iijtbcvfqr"
0,eu tô vendo o circo pegar fogo entre a ufg e o ifg
1,@isadoramendesv1 mds qual a fofoca???? amo as fofocar do ifg
1,alguém vai naquele evento do ifg?
2,"voltando no ifg depois de um ano, tive um vislumbre como um campus enorme consegue compactar um teatro, auditório, quadra de esportes, sala e etc, no meio do centro"
1,"@maritpaiva eu tô ligado, quando peguei greve no ifg eu sofri isso tbm, 2 semanas de férias em julho e dezembro... mas isso tudo é por conta do mec que exige adequação ao calendário, se não me engano"
1,"vou no ifg hj depois de 1 ano e 4 meses sem nem passar na porta, vou chorar igual uma safada"
0,"o ifg podia liberar esse auxílio logo né, tá atrasado"
0,"eu vou sair do ifg véi de vdd, eu n consigo mais não, muita pressão psicológica  cada dia que se passa eu não aguento mais estudar, só quero sentar e chorar se eu n tirar minha vida o final desse mês pode ter certeza que eu vou pedir transferência"
0,quero que o ifg exploda com esse bando de incompetente
1,"não creio q dps de 3 anos, lá vai eu voltar pro ifg kkkkkkk"
1,ifg me confirma se vc vai me pagar essa semana
1,hoje é dia de aulas na cama ifg
1,"tenho uma certeza de q já beijei essa muié no ifg, mas tenho vergonha de perguntar"
0,"@ifg_goiania retorno com a pandemia em alta, estão contra a ciência?"
2,"quando o seu orientando entrega o tcc pronto, precisando apenas de alguns ajustes é bom demais. #education #educaÃ§Ã£o @ifg_goias https://t.co/c7djoe9otr"
0,"vou viajar e tenho que levar computador pra estudar (( obg ifg, eu te odeio"
2,os calourinhos de mésica parecem ser mt fofos tudo do vale sdds ifg
0,porra ifg compra um lubrificante pelo menos cara
2,sdds ifg colocar coisas absurdas no roteador pq desligaram o wifi kkkk como era bom viver
0,"não tenho nem tempo pra responder meus amigos mais, mt bom estudar no ifg"
1,eu não gosto de metrologia não viu ifg
1,quem diria que nosso papinho de corredor no ifg viraria o que somos hoje?
0,todo dia meu pai expressa como ele está decepcionado com o ifg por não voltar o presencial
1,qnd voltar presencial eu tenho certeza q nenhum professor do ifg vai usar o q-acadêmico p lançar nossos textos pra leitura kkkkkkkl vai tudo usar o moodle ne
1,@jimiflakes @i4kittykth já prepara pra passar o dia no ifg princesa
0,sinceramente ifg sinceramente viiiiu
0,eu quero ir tanto pra faculdade mds eu sei que vai ser um inferno mas eu já tô tão saturada do ifg
2,@mari_paul4 lembrei do ifg sdd kkkk
1,eu queria conhecer alguém q estude na ifg pra eu amigar
1,eu me sinto tão longe da família de que o meu carro está https://t.co/x4goghqf9n
1,ifg recebe inscrições do vestibular 2022/1 https://t.co/ege1bzfhme
0,@alexandremoreti eu to esperando até hoje o @ifg_goiania liberar a colação pra galera que formou na pandemia
1,fazer vestibular do ifg pra cursar matemática ¸
1,"@manjerico @_solongmarianne @rsoaresdosreis @mdpetroleumhead eu escolhi em junho, se não me engano... era melhor para organizar o futuro, e agora que nem há (acho eu?) estágios opcionais no ifg faria todo o sentido que se mantivesse assim..."
2,a ifg que saudades de ir fazer curso de música lá!   #umlugaraosol
1,rt @malserion: eu fiquei pasmático a ler listo. https://t.co/5periuny6c
1,para bom entendedor meia ausência basta  - marília mendonça
0,kajakakkk e a gente que vai ter reposição pq a professora não deu aula no feriado  só no ifg p ter essas merda mesmo
1,"isso, se você entrar com o email acadêmico do gmail não precisa de permissão acessa logo direto tudo dos drives do ifg"
2,sdds da ocupação do ifg.   (tampei o rosto das pessoas da foto pq não quero expor e tals) https://t.co/hlbnvk81aa
0,"lembro do a brancalhada cirandeira é muito engraçado, na teoria é contra colonização e é quem mais reproduz... esses dias coloquei um breguinha do recife p tocar e a branca foi e tirou pra colocar beatles pq  desculpa breguinha, sei que meu amigo te ama, mas isso que é música de verdade "
2,falo compramos em 2012 quando ainda estávamos no ifg somos amigas até hoje graças a deus https://t.co/gtvvgnjsar
0,"eu nunca li tanto na vida igual estou lendo para escrever esse tcc... o ifg vai ter que me dar dois diplomas,  um em matemática e outro em letras"
0,"rt @carolina12003: tou a chorar enquanto leio um artigo de escrita académica, triste sim porém não posso chumbar"
0,tô tentando fazer a inscrição pro ifg e tá dando problema nas minhas informações tô isso aqui de desistir
0,rt @matildescpp: tou a morrer aos poucos
2,"amg eu gosto dms de vc, vc é muito divertida kkkkkk acho ótimo ter continuado te vendo msm dps do ifg e adorava encontrar c você nos rolês, espero q a gnt ainda possa curtir vários juntas! amo te acompanhar msm q de longe e desejo que você seja smp mt feliz"
1,"musicisters do ifg gravem um desse e eu diga se esperava ou não, bem-te-vi challenge https://t.co/50vzqdh0wp"
0,hoje eu acordei muito estressada puta merda vai tomar no cu sinceramente viu   (ifg é a causa)
2,"em 5 anos no ifg eu nunca tinha conhecido alguém tão gentil, me ajudou hoje pra krl sem nem me conhecer"
1,rt @caterina_filipe: *cadeira de pirs e eap*
0,"juro mesmo, acho que nunca estive tão mal por um artista"
1,@svalisson obrigado mano kkk tudo de bom pra vc e boa sorte pra gente naquele ifg a gente vai precisar kkkk
2,@dumbose @podpahpodcast @lulaoficial eu sou prova disso!  obrigado ifg por abrir as portas da minha caminhada acadêmica
1,foi oq o ifg disse tbm...
1,"@michelleeams aquilo lá, é tipo as regras que o ifg vai ter que seguir pra voltar presencialmente. í‰ tipo passo a passo do que fazer de agora em diante até voltar presencial"
0,rt @djongaxcitou: a decisão certa dói também...
1,mas é para ficar assim?
0,"queria muito voltar presencial, mas agora não ifg pelo amor de deus, deixa eu me garantir aqui no terceiro bimestre e volta no quarto ou então eu reprovo"
2,@garbimjessica culta linda filosofa o orgulho do ifg campi goiabera
1,"ifg soltou uma nota sobre as aulas presenciais e eu n entendi foi nada, alguém sabe me dizer aí se vai voltar ou oq rolou"
0,voltar pro ifg pra estudar o 5g pq estou completamente confusa alô kelias me help
0,ifg soltando portaria de paramentos pra volta as aulas presenciais  aiaiaiai a gente que lute semestre que vem
2,amo essa reunião pq toda vez o pau tora no meu país ifg
2,@cica_rock @ufj_oficial muito bom. sou professor no ifg. legal. conheço o cefet de minas. tenho amigos por aí.
0,"mais uma vez o ifg está atrapalhando a minha vida, obg ifg¸"
0,@mdusprd amg e o pior é que eu tô pensando em olhar algum curso noturno no ifg pra trabalhar em paz durante o dia
1,e se eu fizer engenharia civil no ifg ano que vem? 
2,"@marconvss estudei no lyceu e passei na ufg 3x, ufrj 2x, uf de alfenas 1x, no ifg 1x e ganhei bolsa na mackenzie/sp e na puc"
1,"@shegabss @ifg_goiania @lukeolif mas é só em janeiro @ifg_goiania , se liga hein"
1,"moral, um semestre antes de eu entrar no ifg o professor diego marques tinha ido lá para um colóquio de matemática um semestre antes pq esse tipo de coisa acontece comigo????"
1,"vei, ano q vem é o meu último ano no ifg (eu espero) e eu só queria é que o professor diego marques fosse convidado para a semana da matemática do ifg ano que vem"
0,"@ifg_goiania @lukeolif beleza, agora volta as aulas pra quem já  tá fazendo o ensino médio aí namoral "
1,"@mathpfr sinto muito amigs, e que ela vá pras cucuias. quando ele tinha 200 mil, olhei e ninguém seguia. quando tava com 1 milhão, olhei e ninguém seguia. semana passada vi que 3 seguiam: 1 colega de faculdade, 1 ex-colega do inglês e 1 conhecida do ifg. parei de seguir e removi eles. "
0,não acredito que vou ter que fazer a prova do enem no ifg
2,queria dizer que o menino é do ifg aquelas coisa né  ifg só dá orgulho mesmo https://t.co/yivfnzemdb
1,@eukaykyv aonde mano? fiquei pra fazer no ifg
2,"se alguém me parar na rua perguntando como q dimensiona um sumidouro, como que faz a etapa de mistura rápida em tratamento, como q dimensiona um tanque séptico, eu vou saber coisas q so o ifg proporciona"
0,venci esse dia venci tratamento de água eou sou mt foda vai tomar no cu ifg nada me abala
0,"incrível como o ifg* suga a minha saúde mental, a minha saúde física, a minha vontade de continuar o curso e a minha alma"
0,"na moral, indico ninguém fazer ifg. ainda mais se for artes visuais."
2,@igorphoenix1 eu só volto presencial na facul em março do ano que vem e com restrição de alunos por sala. amo meu ifg kkk
1,lembrando aqui daquele surto de garganta inflamada que o ifg teve em 2019¸ ainda bem que eu tava fazendo celibato e fiquei de fora dessa festa da uva
0,"rt @bea_mp_: @pedrotmota opa, estou completamente perplexa da quantidade de sangue que me saiu dos olhos quando vi o preço"
1,"@petosobtw no, oq é ifg"
1,rt @inespereiiraa: fico chocada com o desespero de alguns gajos na discoteca jr kkkkk
0,rt @inescsantos2: fr que até tapada até ao pescoço uma pessoa é assediada
1,depois de saber que um  colega  disse que eu nãoo poderia mediar um debate sobre um filme goiano na semana de consciência negra do ifg (mesmo assim eu mediei) eis que sou convidado para debater sobre o filme marighella na semana de africanidades do ifma. https://t.co/8ka8e5q0t3
1,"estou com 4 cadernos de provas do ifg dos anos de 2015 a 2018, se alguém que está estudando para o técnico integrado ao ensino médio estiver interessado, me manda mensagem na dm"
2,@lambarela saudade desse concurso! uma ponte mais legal que a outra. esperamos que em 2022 possamos ver novamente essas obras incríveis 
0,daqui a pouco nãoo consigo nem sair de casa com essa fila do ifg
0,queria saber o que ta tendo nesse ifg todo dia uma fila gigante logo cedo
0,"essa semana eu queria uma trégua do ifg véi, tô mt exausta e sem saco nenhum pra fazer essa caralhada de trabalho q eles querem"
1,acabou de publicar uma foto em ifg - campus inhumas https://t.co/zmba1kiifp
1,@nuncanemfiz sunset pagofunk. da liga lá do ifg
2,@mariana_ifg toda a educação básica da eselx está na verdade 
2,"@geoooooo__ perto do ifg, na avenida galdino moreira de souza, ela é ótima se quiser te passo o contato"
1,"@leticiamarttin8 @ifg_goias em amargosa, na bahia, tem uma também.  #maisvoce https://t.co/pif5gnyhbi"
2,"írvore solar já existe em outros estados sim ana, no @ifg_goias já tem uma linda instalada a alguns anos aqui em goiânia #maisvoce"
0,"@b_ldin amg tu nqo tem outro lugar que possa morar nao????? ti entendo e sei como é horrível. se tu fica muito em casa, tenta sla arrumar uns cursos fora de casa qualquer coisa, escola integral tipo o ifg assim vc fica longe"
1,"ai vei, eu queria tanto ir por x bienal da sbm na ufpa ano que vem se nãoo tiver como o pessoal do ifg ir, eu irei sozinho"
0,rt @analuisaalbuq: ifg eu te odeio
0,@hunter_lorian nãoo conheço mas vai se fuder rodrigo eng de software da ifg pau no cu do krl
0,"falaram sobre citar nome mas eu vou ter que citar, ei rodrigo da eng de software do ifg, vc mesmo, o chatãoo, vai tomar no cu"
0,ifg eu te odeio
2,"me enganei total. quem ganhou a eleição pro daa do ifg Águas lindas foi o prof herick!!!!!! melhor candidato, o mais progressista e companheiro das causas estudantis! a direita e a esquerda âœ¨âœ¨âœ¨p e l e g aâœ¨âœ¨âœ¨ do câmpus perderam após dois longos anos de péssima gestãoo do daa+"
0,@golovaty_1871 tadinhos dos peixinhos hehe
1,estou traumatizada menina estas a janela com o teu cabelo a luaaaaaaa nao me vou daqui embora sem levar uma prenda tuaaa
0,todo dia bernardo se humilhando pra ser atendido por email pelo ifg
1,rt @nelsongcduarte: esta história do rastitas faz-me lembrar algo https://t.co/vsbep0abyl
0,"tem 4 dias que mandei um atestado pro protocolo do ifg e até hoje nada, francamente que setor irresponsável"
0,ifg dps da pandemia ta mo largado mlk
1,@brumaah cooler e cadeira na porta do ifg
0,"boa sorte aos alunos do ifg fsa no enem. tomara que a prova nem chegue lá, e atrase igual a menstruação de moça virgem."
1,@layzaruizz no ifg e vc ?
0,desinteresse gera desinteresse
1,a minha ansiedade tem ligação direta ao meu estômago (:
1,"@favousadox entendi, eu moro perto do ifg de trindade"
1,"@favousadox nossa nem sabia que tinha ifg em anapolis, pensei q era so em trindade e goiás velho"
2,minha meta é entrar na ifg e eu nãoo vou parar até conseguir
1,rt @souaantunes: arrancar a pele do lábio é um caminho sem volta
0,a minha mãe vira se para mim e diz o que se passa? eu sinto que as coisas nãoo estãoo bem!
2,@_sami027 vai com o ifg?  mo sdd do pessoal de la
1,@dsaisarah coloco só pq foi no ifg
2,passei caralhoooooooo medicina veterinária  de ifg para ufg https://t.co/gpzfhs6qa8
1,amo o conceito de usar meu uniforme domingo p tremer a base dos concorrentes mas a realidade é que eu n sei nem se eu passaria na prova do ifg dnv 
1,@ldamyane foi de  eu queria pegar umas matérias lá  pra  e se eu fizer o curso?   acho que você está viciada em ifg
1,rt @b_anselm0: se a adele vier a portugal eu dou nem que seja os dois rins
0,obg ifg pro arrumar meu problema agora vtnc por nãoo ter avisado sua sorte é que eu tenho uma bola de cristal
2,torcendo aqui para que a última turma que fiz estágio no ifg fsa se dê muito bem no enem e no resto da vida. amo todos com a forà¹º do meu intestino delgado.
1,"essa aqui viu, tudo de bom e tudo de triste https://t.co/hmxe38htdz"
2,saudade do ifg spottedâ€¦ mas nãoo das aulas presenciais
1,@yareartes você está gostando do curso? indicaria estudar no ifg? a qualidade é boa?
1,acabou de publicar uma foto https://t.co/wquf5cuqfa
1,@camlizzo você está gostando do curso? indicaria estudar ele no ifg?
1,dúvida constante entre cinema no iesb ou cinema no ifg - cidade de goiás
0,"o ifg fazendo agora oq deveria ter sido feito há meses atrás, com esse plano q ainda vai passar pelo concampus"
2,reuniao do ifg o ápice do entretenimento  https://t.co/qubvibijag
0,"caralho mano eu já sabia q esse era insuportável, mas hj tive a certeza  simplesmente o mais chato do ifg"
0,ifg tá socando o meu cu de atividades e me atrapalhando a fazer outras coisas importantes também   (assistir filmes natalinos clichês na netflix
1,nãoo vai ter eu sendo sorteada p entrar no ifg dia 09/12/21
0,"eu nãoo acredito que aquela desgraà¹º de grupo direitista do if ganhou o daa por um voto de diferença de novo assim como em 2019, os estudantes perdem novamente um chefe de departamento, pois o candidato eleito de nada tem compromisso com a classe estudantil do ifg."
1,rt @constanca_7: eu nos testes: https://t.co/9wrdu2uojl
1,@owlmegu sim kkkkkkk sou do ifg e tu?
0,"í” ifg, lindo! eu to concluindo, mas nãoo vou apresentar esse tcc e nem colar grau no remoto, nãoo insista! obrigada!"
0,ifg pague o meu calmante
0,fui olhar meu local de prova e é no ifg meu deus so o enem pra me fazer entrar lá dps de dois anos fora eh mta humilhação
1,@anjosmafer moro perto do ifg
1,duvida cruel entre continuar no ifg ou ir estudar meio período e fazer jovem aprendiz
1,por que nãoo aparece o campus de jataí na hora de fazer inscrição pro vestibular do ifg? alguma alma poderia me ajudar?
2,"voltando no ifg depôs de um ano, tive um vislumbre como um campus enorme consegue compactar um teatro, auditório, quadra de esportes, sala e etc, no meio do centro"
1,"@maritpaiva eu tô ligado, quando peguei greve no ifg eu sofri isso tbm, 2 semanas de férias em julho e dezembro... mas isso tudo é por conta do mec que exige adequação ao calendário, se nãoo me engano"
2,hoje tem debate sobre tema importante hein . parabéns ao pessoal do cahis ifg https://t.co/ze2erfrtxu
0,"eu vou sair do ifg véi de vdd, eu n consigo mais nãoo, muita pressãoo psicológica  cada dia que se passa eu nãoo aguento mais estudar, só quero sentar e chorar se eu n tirar minha vida o final desse mês pode ter certeza que eu vou pedir transferência"
1,"nãoo creio q dps de 3 anos, lá vai eu voltar pro ifg kkkkkkk"
0,"eu entro de férias só dia 22 de dezembro, e nem é por conta de recuperação, obg ifg"
0,@asafe_skt nem fudendo kkkkkkkkkkkkkkk quero presencial no ifg
2,tô apaixonado no mestrado profissional do ifg 
1,isso aqui foi um grito artístico! https://t.co/kgpuynxvrf
0,ifg vc acorda cedo pra ver a aula e os professores n aparecem
0,ifg eu te odeio por me fazer acordar 5h da manhã 
1,"não sei pro que eu tô mais ansiosa, pra entrar no ifg ou ir pro enfe ano que vem"
1,"abro o guarda roupa para ver qual o traje que eu vou escolher, se hoje eu vou de polo da lacoste ou de tomy ifg "
2,professor melhor que o ronan naquele ifg não existe
1,"@rafadsl é aí q tá, amiga, quando fui cadastrar, eu não consegui achar o ifg campus goiânia nas opções de selecionar a faculdade, tinha vários outros campus, exceto o goiânia"
0,@gabimesquita18 ultimamente nada anda fazendo sentido no ifg 
0,"mano, mas que porra é essa? eu perdi o meu spotify universitário e agora nn acho o ifg campus goiânia para registrar de novo"
2,"@apasalmeida legal demais. eu trabalhei com recuperação de áreas degradas no ifg, apesar de não ter publicação sobre o tema. sou alguém que me aventuro a estudar o cerrado. vamos fazer parcerias. fazemos parte de um grande grupo de pesquisa ufg/ufj/ufcat, ifg, ifgoiano e ueg,"
2,por mais projetos de eficiência energética em nosso estado \\o/
1,essa aqui parece que foi escrita por mim í ¾í´§ https://t.co/in0cj2utkd
0,que porra é ifg? fala direito pourraaah
1,"@tha_tha_is amg.... duas garotas q estudaram cmg no ifg casaram, uma em 2019 e outra em 2021  eu peço dinheiro até hoje p meus pais mesmo trabalhando"
0,quase acabando o semestre o ifg manda a avaliação dos professores do semestre passado
2,"acabei de participar de uma live no instagram conversando sobre o filme  m8 - quando a morte socorre a vida . o espaço foi organizado pelo cineclube ismael, um projeto de extensão do ifg - cinema e sociedade.  a live está salva. segue o link: https://t.co/5ucvjtqgky https://t.co/pmgo1ww5ji"
1,"acho que o benfica é o melhor exemplo do que é o português labrego que aproveita cada oportunidade para suceder, mesmo que faça figura de urso ifg"
2,saudades ifg
2,@cineclubeismael @ochicofilho @sarexsi melhor projeto de extensão popular do @ifg_goias nos campus @ifg_goiania e goiânia oeste.
1,"@fiernandomierda @igorferrbarbosa por favor, vcs são a parte que mais me fazem falta do ifg"
1,o struggle de ver glee a estas horas e não poder berrar e partir janelas com eles ifg
0,"que tristeza esposa foi dar aula na 7ª série entrou na sala as carteiras tudo fora do lugar, um monte de bandeja de salgadinho, garrafas de refri e uma airfryer numa mesa"
0,"ifg pare imediatamente de parcelar minhas férias, eu quero formar antes dos 30 fdp"
0,"finalmente voltaram com o vestibular da unb caralho   meo!! + de dois anos, cursinho, 3 enem, 2 vest de vaga remanescente, 2 sisu, inscrição até pra ufg ifg ifb, descomplica choro e ranger de dentes  da pra ver a luz no horizonte e não é a morte"
0,"scrr kkkkkkkkk meu professor de matemática é colombiano, ifg tá de zoeira só pode @yasmincachinhos https://t.co/fpanh0uzg4"
1,"@_pedroeramos é impressão minha ou é a única especialidade que ainda não foi escolhida?  ainda assim, 2020 foi também muito covid e nos meses  calmos  deste ano os ifg daqui estiveram nas actividades normais da usp, p.e. e acho que ninguém acredita mesmo que isto durará o internato todo"
