polarity,text
2,"@jjkisgoiano passei no instituto federal, to feliz tbm"
1,"não vai ter eu passando na federal, estadual e instituto federal https://t.co/7h9wxqy3du"
1,felizmente estudante de instituto federal (não aguento mais scrr
1,deve ser muito humilhante repetir no instituto federal https://t.co/qxgcyvij7n
2,obrigada papai do céu por estudar no instituto federal e não no marista
0,"vai se f0der todo mundo nessa merd4 de instituto federal de são paulo por voltar as aulas presenciais em pleno final de outubro pros alunos terem um mês de aula, sério, que se exploda essa instituição"
1,"@detremura @ademarmferreira nossa amiga, eu querendo prestar enem, para estudar no instituto federal. medo de não ter mais instituto. governo infeliz mesmo. tem que cair para ontem."
2,"depois de duas semanas peguei o email institucional, amo muito! obrigada instituto federal"
0,incrível a quantidade de pais de alunos que odeiam o instituto federal allaksksjjskakkaksksk
2,"hoje eu vi tantas fotos da minha turma do ifrn no drive que me sentir nostálgico. pense numa saudades boa, só queria reviver todos os momentos de alegria que eu tive no instituto federal"
1,@futurizando_ eu vou conseguir entrar no instituto federal?
1,@spampitx não esqueça de fazer a prova do instituto federal!!
1,me ajudem  comentem qualquer coisa aqui só pra mim nao esquecer de fazer inscrição pra prova do instituto federal pfvr!!!!  se eu perder a inscrição eu me m
1,alguém sabe se pode fumar um baseado no instituto federal?
0,eu te odeio instituto federal que nao me responder no zap
0,ano q o ifes é a primeira escola que eu vejo fazer de tudo para nenhum aluno passar no enem   ai depois os alunos do mesmo jeito se matam para caralho e ficam dando bolo gelado ruim no ano seguinte para parabenizar os alunos que nem estudam mais lá   piadas
1,estou doando vaga no instituto federal https://t.co/ccjmaa3hhw
0,"man, instituto federal é tão bost4, q os cara enrola pra krl pra voltar as presenciais, e ainda tenq estudar na semana e véspera do natal"
1,"isso foi nem acredito que hoje eu descansei e amanhã eu posso descansar e não fazer nada tb (tenho aula de canto, crossfit, o documentário pra gravar e de noite ver #eles, mas são tudo coisas que eu gosto"
1,deem ola pra quem é novo aluno de reparo automotivo do instituto federal
1,@luzbrsoumaiseu f nada vou tentar o instituto federal
0,você ja me encheu a paciência instituto federal de camboriá https://t.co/z7xdjbn1am
0,você já me encheu a paciência instituto federal de araquari
1,"todo dia eu acordo, abro a aula e tenho a mesma sensação de que eu não merecia estar no instituto federal."
0,adoraria ser do turno da manhã mas a porcaria do instituto federal não deixa https://t.co/hydbgbkehk
1,"@linezayn nas q eu estudei não tinha, agr q estou em instituto federal tem"
1,eu quero entrar pro instituto federal mas também não quero aaa
0,nao gente professor do instituto federal é tipo sim eu tenho doutorado na pqp mas eu nao tenho a capacidade de parar de usar um termo que ataca 30 grupos diferentes
0,uma linha de ônibus q eu odeio? instituto federal 1h na parada e nem sinal desse cu
1,quem me conhece sabe que minha causa é tirar o estado do cangote do empreendedor. acabo de ler um estudo do instituto brasileiro de planejamento e tributação (ibpt) sobre a quantidade de normas editadas no brasil desde a promulgação da constituição federal. 1/3 https://t.co/rvgifsnauo
0,todo mundo do instituto federal fala que é difícil se manter lá e fico só pensando q se eu for p lá eu vou me lascar de tanto estudar...
1,alguém aqui estuda no instituto federal?
0,"eu só queria jogar, ver essa série que tá todo mundo falando, escutar música, até me exercitar tá valendo... pelo amor de deus, alguém exploda o instituto federal por gentileza"
0,pau no meu uc né instituto federal
1,melhores amigos conheci onde? iff primeira menina (e outras) q beijei? futsal do iff   obg instituto federal fluminense que conheci como cefet
1,"menina, você tem preconceito com menor de idade, é? menina, do instituto federal, intrometida"
0,meus mais sinceros vai tomar no cu vai pra puta que pariu instituto federal
0,vc já encheu a minha paciência instituto federal eu odeio eu odeio vc eu odeio vc maria joaquina
0,rt @cmentringer: instituto federal do espirito santo voce me faz passar tanta raiva
0,boa tarde pra quem assim como eu não aguenta mais estudar! queria saber onde que eu tava com a minha cabeça quando eu me inscrevi nesse instituto federal ... https://t.co/piqfyipv6u
1,kkkkkkkkkkkkk é cada uma desse instituto federal https://t.co/01lqpkctga
0,"reza a lenda de que existe uma faculdade em que os professores cancelam a aula pra fechar nota pq eles não tiveram capacidade de fazer isso nos horários certos então usam a aula. uniesquina? não, instituto federal de são paulo campus piracicaba"
1,você preenche um formulário (quase que obrigado) no sigac (um sistema do governo federal) com seus dados porque é professor de instituto federal. 10 minutos depois já tem ligação de gente oferecendo crédito consignado...os dados de ninguém esta seguro em lugar nenhum.
0,"literalmente tds as escolas do rio resolvendo a questão das aulas presenciais menos a porra do instituto federal fluminense, vsfd."
1,levando em conta que é instituto federal eu diria que foi de propósito. https://t.co/uwhaf2jlcn
0,"@greengodict mas para quem não sabe, estudar em instituto federal é dead. errado não está."
0,entrar em instituto federal resumido em uma palavra:  dead  https://t.co/wwncwyywnv
1,@dnsxlrj eu quase ia entrando em instituto federal tbm mas como tem grade integral ei não entrei por causa do cil https://t.co/unubpp8cfx
1,@iorenaz eu tõ em 2 empregos (um de madrugada) e uma curso num instituto federal e tô começando a surtar agora 
0,"não sei se foi o primeiro ou segundo que participei, mas deu um b.o. federal (piada idota) pq simplesmente teve menor de idade dando pt dentro do instituto (e fora tmb)  sdds..."
0,"ah, mas o instituto federal é de boa, você nem paga nada   meu amor, a gente paga com a alma"
0,compulsivamente olhando minha conta bancária esperando o auxílio e a bolsa terem caído e os números aumentado instituto federal de goiás e banco do brasil agilizem isso por favor
1,@futvrista moço seu nome parece aql instituto federal ifba ifrj etc
1,"com todo esse papo de mbti, eu lembrei de quando tinha infp na bio e a @134340vrr falou que pensava que era nome de faculdade  agora toda vez que eu vou ler infp a minha mente complementa como instituto federal de pernambuco"
1,fiz inscrição pra química no instituto federal tomara q eu m
0,"o bom dos institutos federais e universidades federais é que eles têm noção da realidade de seus alunos    -ass: aluna de instituto e universidade federal, ex-aluna de escola  privada "
2,"@gabrielzinkkk1 q chique, estuda em instituto federal"
2,"honrado de poder voltar a estudar italiano, uma língua dos meus antepassados que lembra meu avô (ele sabia dançar mais de 100 canções em 'dialeto talian')! tudo graças a uma parceria entre a universidade federal de santa catarina e o ifsc - instituto federal https://t.co/p9fr46viwt"
1,"sabe quando alguém se diz ser contra cotas raciais e que deveria ter cota pra pobre independente da cor?  então, já existem! essa é a página de inscrição para vestibular no instituto federal.  observe que 50% das vagas são para pessoas que sempre estudaram em escola pública: (+) https://t.co/pbnv6aoa6q"
2,"conheci professores tops e outras coisas que realmente me fizeram rir naquele escola. tive oportunidades e agora estou finalizando um curso que nem vou levar pro meu futuro, mas que vai fazer parte de mim, de que passei por instituto federal. nessa reta final  luto  (+)"
2,"ninguém me avisou como era o campus, entrei sem saber o que eu ia passar kkkkl que ódio das primeiras semanas que só foi ladeira abaixo. eu me sinto feliz por eu ser aluno de um instituto federal, porém ali tem alguns pesadelos que todo um aluno ifiano vai passar. (+)"
0,minha mae fazendo minha inscrição no instituto federal que nervoso
0,"1450238633508802560, @yfbceus aposto que foi o desgracado do instituto federal https://t.co/knmuyp2xl4"
0,"@taaylc a estudante do instituto federal sofre mto tay, yasmin simplesmente ta pedindo arrego"
1,alguém desse site estuda no instituto federal?
0,instituto federal bomba fudeu com o calendário no inicio da pandemia deixando 3 meses da gente sem aula e agora quer correr contra o tempo enfiando um semestre com 90 dias letivos como se fosse possivel enfiar tanto conteúdo na cabeça de um aluno nesse espaço de tempo
0,"eu tinha falado que nada ia me derrubar essa semana pq eu tinha visto os meus amigos, mas o instituto federal me derrubou e me colocou no fundo do poço  escola do caralho vai tomar no cu"
0,hoje está sendo um puta dia merda e tem tudo pra piorar  eu te odeio instituto federal fluminense
0,vai tomar no cu instituto federal vão todos pra casa do caralho arrombados de merda filhos da puta devolvam minha sanidade vermes
1,"@annehandressa no instituto federal q fiz tb não tinha isso não, será que foi depois que saí? https://t.co/htlab4nzzr"
2,pra mim quem estuda em instituto federal se torna automaticamente inteligente na minha cabeça
2,mas ter estudado em instituto federal fez toda diferença pq a carga horária do meu ensino médio era muito mais pesada que a da faculdade então já cheguei calejada pra mim tá super tranquilo
2,"estudar no instituto federal é bom, então, observei o quanto as instituições públicas de ensino superior estão anos luz a frente das particulares, eles incentivam os alunos a fazerem experiências a não  deixarem ficar no comodismo.. e gostei bastante disso!"
1,"@hyejoolights instituto federal deve ser foda de estudar, no sentido bom e ruim. conversa com teu pai sobre isso, e tenta relaxar, você sabe que fez seu melhor nesse ano, tudo que tiver que acontecer, vai acontecer"
0,"@leilagermano o tanto que isso me ofendeu, sabe? sou professor do instituto federal e nunca passei tanto ódio e desesperança qto nos últimos anos. esses caras respiram morte e destruição, eles vivem de ódio"
1,mas esse tal de instituto federal da uma cansada não?
0,pior governo pra ta estudando em instituto federal
1,mulher tu eh professora de instituto federal e falando uma dessas
1,estudar em instituto federal é ter que aguentar isso aqui. https://t.co/ftz5d3tf10
1,pensando mt em me inscrever no instituto federal vius
0,"não vou fazer inscrição pra entrar no instituto federal, não vou entrar mesmo"
2,"hoje eu tenho condições de trabalho por estar em um instituto federal, mas muita gente não tem e por isso há tanta demanda por amor e sacrifício (e texto chato do imperador do japão). a docência é só mais um trabalho. e por isso gosto mais do primeiro de maio."
0,obrigado instituto federal por mais um dia sem comer
1,fiz a prova do ifba (instituto federal) em 2018 e só vi hoje que eu passei na prova 
1,eu reclamando do if todo dia also eu na primeira oportunidade: é q eu estudo no instituto federal 
1,nao ter feito o ensino medio num instituto federal
0,odeio você instituto federal de educação ciência e tecnologia
0,mano eu não sabia que era tão difícil estudar no instituto federal
0,"lado bom do ead: eu consigo acessar e mostrar qualquer site/imagem/vídeo instantaneamente para os meus alunos. basta surgir o assunto, eu pesquiso e mostro. no presencial, o instituto federal que eu trabalho não tem wifi e nem terá."
0,o. instituto. federal. esta. me. matando.
2,@maybekel a maior que temos em todo instituto federal
0,instituto federal vc me paga
0,"casos onde professores constrangem seus alunos por conta de opiniões de direita ou conservadoras dadas (eu falo isso com propiedade, pois sou estudante de instituto federal). por isso, surgiu em meados de 2018/2019 o projeto de  escola sem partido  que estabeleceria regras e+"
0,"eu sei q eu façoo todas as atividades mas sempre quando eh hr de ver a convocação de recuperação eu fico com o cu na mao com medo do meu nome estar la, culpa do instituto federal q me faz se sentir burra td dia"
0,"@nattokethelyn né cara? palhaçada isso, já voltou uma porrada de coisa, mas o instituto federal não pode voltar vsf"
1,"@amandamoraes500 meu filho de 14 anos não quer se vacinar. está estudando por enquanto on line num instituto federal. o ano que vem vai ser aula presencial, o que fazer quando não deixarem ele frequentar as aulas?"
0,aula presencial de educação fisica meu deus te odeio instituto federal
0,"@queermerda nao mando isso em gp de sala nem a pau, sou de instituto federal, só o que tem ali é gente encharcada de teoria queer na cabeça"
2,curso de secretariado do instituto federal de roraima parabéns por ter tantas mulheres lindas
0,a menina dizendo que o instituto federal eh uma milicia que tem pé de maconha que não se pode confiar em ninguem que vao te drogar
1,eu preciso parar de viver como se eu não estivesse matrículada num instituto federal... jesus me ajuda
0,o maior erro e acerto da minha adolescência até agora foi entrar num instituto federal
0,"eu genuinamente acho que o instituto federal é um teste, não desistiu vai pro céu direto"
0,vai tomar no cu instituto federal fluminense
0,maldito seja instituto federal da paraíba
1,"soh fui ler pela 1Â° vez meu certificado do ensino medio ontem (nao fui pra eskola soh tirei pelo enem) e nem eh  o mec certifica q fulana de tal etc etc , eh  o instituto federal de sp certifica que fulana de tal etc etc... . nem cursei o ensino medio e saí com certificação do if https://t.co/gneogtatkx"
2,espalhando a palavra do instituto federal em todas as redes sociais 
1,"se eu entrar no instituto federal,eu me jogo só de brincadeira"
2,é lindo de se ver como minha família sente orgulho de falar que eu estudo em um instituto federal  (obs: pela segunda vez)
0,queria implodir o instituto federal da bahia sabe
1,e minha não é de hoje que tentam acabar com o pibid.   o programa institucional de bolsa de iniciação a docência foi um importante momento para minha formação como prof. quando ingressei no programa em 2015 já viviámos na aura de que o pibid poderia acabar a qualquer momento..
1,"eu vi a matéria no final do ensino médio, eu vi a matéria no cursinho, eu vi a matéria no instituto federal, agr eu tô vendo na ufla   em menos de 3 anos eu tô vendo a mesma coisa 4x, aaaaaaaaaaa eu não aguento maisssssssss"
0,admiro todos q estudam no instituto federal e nunca pensaram em desistir
1,achei o tiktok de uma guria que estuda no instituto federal que as aulas da escola dela ja voltaram pqp to com muita inveja
1,"@sofialaste mano, ifrs na sua bio é instituto federal do rio grande do sul? pq antes eu achava q era seu mbti kkkkkkk n manjo nada de mbti, como vc pode perceber"
1,"eu não vou morrer mais, pq já tô morta por estar passando pelo 4° período do instituto federal!"
1,@gasosadecereja com pés no instituto federal das raparigas
0,rt @vulgovarao: todo mundo voltando as aulas presenciais e no instituto federal nada  #liberapresencialdosifs https://t.co/1qsxdmn3x1
0,rt @__ablubleh: instituto federal eu te odeio
0,"as casas de show,os bares,e ate os cinemas, estão funcionando, mas o instituto federal não. #tamojuntobmd #liberapresencialdosifs"
0,@mec_comunicacao pelo amor de deus libera as presenciais pro instituto federal não aguento mais me sentir inútil
0,instituto federal eu te odeio
2,"eu simplesmente amo estudar em um instituto federal, essa foi a melhor coisa que aconteceu na minha vida nos últimos anos. essa viajem e essas contribuições jamais aconteceriam em uma escola particular. defendam a pesquisa, a ciência e a tecnologia. defendam a rede federal!"
1,pros bolsominions como meu vizinho que afirmou que não fizemos nada no instituto federal durante a pandemia em home office: licitamos dias antes do natal passado e estamos concluindo a reforma de um laboratório do chão ao teto (além de outra obras) https://t.co/j4nco0i8ds
1,"rt @emilynevss: nos alunos do instituto federal, estamos em busca de uma educação de qualidade, e o if como uma instituição de exemplo não está podendo fazer o seu papel em aulas remotas! #liberapresencialdosifs"
0,eu realmente acho que não vou conseguir passar na prova do instituto federal e desde já tô estou triste por isso
1,"minha vida é um eterno  fazer provas . ansiosa pra sair dessa vida kkk começou aos meus 15 anos no vestibular pra ingresso no ensino médio no instituto federal. depois disso, foram inúmeros vestibulares, enem, processos seletivos de estágio, concursos..."
1,a novinha era eu e o vestibular era o instituto federal https://t.co/bdnls9oqdm
1,acho que vou apresentar meu projeto na area da maconha no instituto federal
1,"nos alunos do instituto federal, estamos em busca de uma educaçãode qualidade, e o if como uma instituição de exemplo não está podendo fazer o seu papel em aulas remotas! #liberapresencialdosifs"
0,"o sonho do instituto federal e etec é poder estudar no senai, apenas"
1,"os cara tem preconceito com escola publica, mas a maior parte das pessoas q passam no instituto federal e de escola publica a maioria https://t.co/lbgps2wyc2"
2,"caras eu consegui um pequeno curso de introduçãoo a astrofísica no instituto federal de tecnologia, e acabei de ver a primeira aula (desde manhã vendo) e to mt feliz é isso boa tarde...í ½í¸­í ½í¸­â¤ï¸ https://t.co/unhca1cqn9"
2,ganhando uns mimo do instituto federal
0,esse site do instituto federal é péssimo pqp
0,o pior instituto da federal chama-se if. materias ruins professores antigos ruins professores jovens bons são influenciados pelos ruim abre o olho professor sua avaliação institucional de 10 no semestre passado pode ir pra 3 esse semestre
1,o instituto federal sempre servindo memes kkkkkkkkkkkkkkkk socorro. alguém avisar pfvr https://t.co/h5mjpnj78s
1,achei bem vibes do ensino no instituto federal mesmo https://t.co/hynl2lqm2e
0,@alvesfabricio_ gente q vergonha de ser do instituto federal mds q vergonha
1,"estudo num instituto federal de santa catarina, o @ifsc  já é de tempos que conheço as instituições púlicas de ensino, e busquei um jeito de conseguir todos os auxílios que eu pudesse concorrer. ainda sim, não é o suficiente pra viver só disso."
2,falo e repito: estudar no instituto federal foi a melhor escolha que fiz
2,@opps_rg tenho uma obssesão terrível pelo instituto federal minha filha
0,nem começou o período e eu ja to chorando de ódio do instituto federal
2,instituto federal nunca acertou tanto https://t.co/4z3tqpn9np
0,instituto federal é essa porra ai  educação dead https://t.co/dexrzwtp2w
0,nunca vi um site mais confuso que o do instituto federal pelo amor
1,"@rubem_artur amigão kkkkkkkk  estudar mais? kkkkkkkkkkkk  prazer, pedro henrique  aprovado em 1Â° lugar no instituto federal do espírito santo e atual aluno da universidade federal do espírito santo (ciências biológicas)  pode ter certeza que sou uma pessoa muito, mas muito mais estudado q vc"
0,tinha q ser instituto federal a piada ja vem pronta https://t.co/glcbonytso
1,"minha filha estuda no ifpa instituto federal do pará virou esquerdista defensora do comunismo, más já lhe falei aqui em não se defende esquerdista,"
0,o que está dando mais errado: o brasil do bolsonaro ou o instituto federal do ceará?
1,irei postar muitas fotos cm meu uniforme do instituto federal estejam preparados
0,boa tarde pra quem assim como eu não aguenta mais estudar ! queria saber onde que eu tava com a minha cabeça quando eu me inscrevi nesse instituto federal ... https://t.co/piqfyipv6u
2,@l30player eu cai num instituto federal aqui dessa vez aqui deu bom
1,eu tenho meu marido minha casa própria faço faculdade no instituto federal catarinense e ainda me sinto muito intimidada quando vejo adolescentes parece que a qualquer momento vou ser humilhada por um grupo de jovens por causa da minha aparência e me sentir inferior
1,@k0tzume instituto federal do piauí .
1,@vitrianunesdos3 rondonia mas no estado ja voltou as aulas tudo menos no instituto federal de rondonia que é aonde eu estudo
0,vocês acreditam que tem professor de instituto federal vacinado com as duas doses se recusando a dar aula mesmo com todos os protocolos???? e acreditam que ninguém ta fazendo nada??!!!!!
0,todo mundo voltando p escola e o instituto federal nío deu um pio até agora que eu saiba
0,não aguento mais instituto federal de jataí ! nío aguento mais !
1,acabei de presenciar uma tentativa de assassinato aq onde eu moro onde me mudei só pra estudar no instituto federal e fazer química é muito amor a essa ciência mesmo
1,"mano a isabelly kkkkkkkkkk disse p mim q o crush famoso dela fazia facul aqui em cuiabá, aí eu entrei no insta do cara e quando fui ver na bio tava Astronimia - IFTM q é o instituto federal do triângulo mineiro a emoção da gatah"
1,vai ir para praia em janeiro? sim pra if (instituto federal)
1,alguém sabe aqui se é melhor fazer ensino médio em instituto federal ou em escola particular?? (pra quem pensa em enem)
1,preciso urgente de um tablet meu celular nao vai aguentar o instituto federal nao
0,eu desisto de vc instituto federal vc ta sugando a minha alma
1,"esqueci de falar q faço coleção de mangá e perfume, me visto bem, estudo em um instituto federal no curso de desenvolvimento de sistemas"
0,esse instituto federal acaba comigo 
1,@almotchellis culpa do instituto do índio lá contratado pelo governo federal.  #brinks
1,rt @loonabarangas: ah que a momo e burra ah que a momo e burrinha  momo sendo japonesa e cursando farmácia na ifto (instituto federal do tocantins) https://t.co/ho9ldrhmyi
0,nao vo passa nessa merda de instituto federal nunca eu juro wuero morre
1,"@sooycosmic instituto federal amgg, tem ensino médio mais curso técnico lá, que no caso é oq eu faço"
1,"o bolsa não tenho vergonha de dizer que, na infância, fui assistido pelo bolsa família. reconheço que aquele momento fez enorme diferença na vida da família, como complemento de renda do qual necessitávamos. seu fim, sem planejamento nenhum, é uma das maiores falhas já vistas no país."
1,"eu estudei 4 anos de ensino médio técnico em instituto federal pra no fim não me formar, tenho certificado de conclusão do ensino médio pela minha nota do enem (antigamente isso era possível)  entrei no mestrado em agosto mas já desisti https://t.co/gbonaodgeq"
1,essa semana q passou encerrei um curso pela unifesp e estou encaminhando para o encerramento do semestre na minha pós-graduação  pelo instituto federal. as vezes fico pensando como consigo dar conta de tanta coisa trabalhando em 3 lugares.
1,mano nao sei mais estudar nrm fazer prova e o meu pai quer me botar pra esutdar no instituto federal
2,uma coisa boa que acabei esquecendo de contar: eu passei no curso de libras do instituto federal da minha cidade e eu tô 
0,"se eu sobrevivi a essa tarde e noite caótica de hj no instituto federal, eu sobrevivo a qualquer coisa na minha vida de agora em diante. digo p vcs, eu n tenho mais nenhum neurônio funcionando. qm escreve aqui é minha alma, q tá nas mãos do querido deus."
1,imagina ser professor de filosofia no instituto federal e de direita
1,@brunoandrs amigo provavelmente eu teria continuado no instituto federal
1,@arthuurodri @ciclopin instituto federal (o ifro q eu falei cntg um dia desses
1,@tmjkei instituto federal kkkk é onde vou estudar ano que vem
0,eu odeio o instituto federal do paraná campus umuaramaaaaaaa
1,"mesmo sendo cria de instituto federal, jamais me senti tão constrangida, tão burra e tão humilhada como com essa professora da uf**, nossa, o p2 promete, tive uma crise aqui que fiquei parecendo o coringa rindo por 10 minutos"
2,orgulho desses jovens do instituto federal/sc. mandaram pra minha filha. https://t.co/wxngsnuh3t
0,"@cwgethe instituto federal, melhor, aonde você perde toda a saúde mental que te restava"
0,instituto federal de roraima sugando até a útima gota da minha alma
1,queria dar em cima de um menino mas na bio dele do insta tá o nome do instituto federal daqui ou seja: pode ser estudante 
0,desisti do instituto federal kkkkkkkkkkkkkkkkk
0,"oxem, instituto federal matriculando por sorteio ? bisha isso num dá vergonha não ? por isso que esse ano teve muito calouro noiado. https://t.co/6wdzktuvav"
1,como ir pra barretos prestar o instituto federal e ter vida social??
1,esses são os novos eleitores do lula. jovens do instituto federal/sc. parabéns a eles.í
0,"@arthurmoledoval uma pena, vejo como um retrocesso pois vários alunos qdo dei aula no instituto federal iam ao cinema pagando meia e garanto que eles não eram ricos. infelizmente o preço não irá abaixar (espero estar errado). deve haver uma forma de verificar o mau uso com tecnologia..."
0,"eu estou tendo 2 fodidas palestras ao mesmo tempo, e ambas valem ponto.   sinceramente, esse instituto federal quer fuder minha vida. https://t.co/sunfffypor"
0,parem de postar fotos do instituto federal catarinense pf isso me faz mal
1,"@delarabru eu sai dos instituto federal ha 8 anos, nunca busquei."
1,"@onetryobvious @drow_druida @kellvila na minha escola davam bolsa pros alunos mais carentes, devia ter isso lá também(instituto federal)"
1,"@heytardd @joaoamoedonovo ok, senhor sabe tudo. fui funcionário de um instituto federal. auxiliar administrativo. salário 1300 na época. não seja ignorante. nem todo servidor federal é juiz e general. procure pelos cargos e medias salariais dos cargos do executivo que são a maior parte."
1,"queria saber cadê o instituto federal reclamando de verba hein ?  não vai nunca, com o presidente tentando passar a pec dos precatórios pra poder aumentar salário dos funcionários públicos federais que em média recebem 3x mais que os municipais e estaduais, aí ficam caladinho né?"
0,te odeio instituto federal
1,"@aquelerogeer_ felizes? kkkkkkk enem é a prova mais injusta que existe, isso vários professores com mestrado do instituto federal que eu estudava falavam e é real, questões totalmente desproporcionais pra quem tá acabando de sair do ensino médio. iludido pra carai tu kkkkkkk"
0,instituto federal de goiás pelo amor de deus me pague!!!!!!!! preciso nem que seja de uma merreca na minha conta bancária
1,desde que saí da escola municipal pra fazer ensino médio no instituto federal toda minha educação vem sendo feita no que o lula implementou. sou grata e reconheço 
1,sobre o i um círculo vermelho. abaixo está escrito instituto federal da bahia
0,meu deus mas q merda aconteceu nesse instituto federal catarinense - campus videira?
1,"nossa, acho que só hoje naquela palestra que caiu a ficha que estudo no instituto federal"
1,@cirogomes @priscilafcruz já foi a um instituto federal? foi o haddad que criou!
1,porra instituto federal olha oque eu to fazendo por vc ein
0,as duas coisas que eu mais me arrependo na vida são: não ter ido pro instituto federal e ter desistido do pré vestibular em teresina pra entrar logo na ufpi pq eu não aguentava mais enem
0,deus abençoe o instituto federal perdi 2 quilos de nervoso por causa dessa caralha
0,querem uma dieta que funciona mesmo? sejam alunos de instituto federal! alguns professores te fazem estudar tanto que você não tem tempo nem de comer 
2,"todo dia ouço que o if(instituto federal) não é uma  faculdade de verdade . geralmente vindo de baba ovo da ufrgs. eu digo que, o if é mais pé no chão da realidade do jovem brasileiro do que a ufrgs."
1,vi 'ifsp' no perfil do cara e pensei   ele colocou o mbti dele errado n seria isfp?  dps q cai na real q é instituto federal de são paulokkkkkkkkkcuidado com a burra
1,mediana na escola particular burra no instituto federal gênia na escola pública  o mundo não gira ele capota
2,meu filho está se formando no instituto federal de barretos .gratidão! #equipelula https://t.co/kxrgammncq
1,"ah, o mais novo se graduou em instituto federal criado por lula."
0,@sixxk001 instituto federal a maior apologia pra insino que existe
1,"uma vez eu pesquisei o nome de um amigo de anos q ouvi q tinha passado por um rolo em um instituto federal, aí descobri q ele tinha várias tretas por tráfico e porte ilegal de arma https://t.co/dccmrtfxjd"
0,vc acha q pode me machucar? amigo eu estudo no instituto federal 
1,@inejcorvere não tem brainly que te salva de um instituto federal nao
0,"nenhuma questão, por está fora da ideologia politica aplicada. isso no nosso cenário atual, pois de fato, não gosto da ideia, prova para entrar em universidade/instituto federal."
0,só de pensar que ano que vem vou pro instituto federal sabendo que vai ser um inferno 
0,como que faz a inscrição pra esse p de instituto federal que nao to entendedo nadaaaa
1,ano que vem é meu último ano na escola e até hoje eu fico pensando em como eu tive inteligência suficiente pra passar em um instituto federal
0,vou bombardear o instituto de artes da universidade federal do rio grande do sul hoje meia noite fiquem ligados
1,"instituto federal &gt; ivo  mas ne, to morrendo de medo de ser a burra do lugar"
0,@macacod0d0oi @indragangk por isso eu desprezo instituto federal
1,"fiz mia inscrição no instituto federal, agr seja oq deus quiser"
1,"querido curso de licenciatura em letras e suas literaturas do instituto campos campus centro, não crie muitas expectativas comigo amanhã na prova do enade. tô indo obrigada pelo sistema federal"
0,pq me deixaram entrar no instituto federal? que ideia de merda porra
1,odeio quando eu falo que estudo no instituto federal e a pessoa ao invés de responder nossa que legal sério meu deus parabpens fala ah não conheço minha filha eu não fiquei meses estudando pra passar na poha do vestibular pra tu me dizer que não conhece
1,"@tartagliaincel você tem que estar no mínimo, no fundamental, tu acha que todo mundo tem tempo pra ficar gastando na net???? eu estudo no instituto federal, uso o twitter pra ficar na paz"
1,"então nas últimas duas semanas dei uma boa pesquisada e, coincidentemente, estavam abertas as inscrições para análise e desenvolvimento de sistemas no instituto federal daqui. me inscrevi pq é tecnólogo e não tenho mais paciência pra 4 anos. mas será que é uma boa decisão?"
1,@oldhouse93 @biscoituzxy com  if  vc quer dizer instituto federal?
1,"@kooblow if é o instituto federal amg, e não é mesmo não kkk só o nome é igual mas o que eu uso é diferente"
1,nunca mais deixo meu carro estacionado perto do instituto federal https://t.co/b5kcc0onjj
